target_Z,incident_energy,recoil_energy,recoil_px,recoil_py,recoil_pz,centerMomentum_energy,centerMomentum_px,centerMomentum_py,centerMomentum_pz
74,3.827,2.08335,0.00945594,0.00255352,2.08333,3.827,-0.000294222,0.000193729,3.82692
74,3.827,1.49835,0.00290126,0.00397338,1.49834,3.827,0.000273331,-0.000303197,3.82696
74,3.827,0.0280242,0.000317892,0.00237647,0.0279168,3.827,-0.00053001,0.00338101,3.82688
74,3.827,1.56817,0.0258419,-0.03003,1.56767,3.82699,0.0330565,-0.0390839,3.82644
74,3.827,0.776846,-0.00831107,0.00223144,0.776798,3.827,0.000339621,0.00145896,3.82692
74,3.827,0.0581607,-0.000693075,-0.0018563,0.0581247,3.827,0.000202004,0.000213455,3.82695
74,3.827,0.267338,0.000936287,-0.00156366,0.267331,3.827,-0.000141191,-0.000175549,3.82698
74,3.827,0.00285745,0.00061214,-0.00160956,0.00222227,3.827,0.00089244,-0.00170207,3.82635
74,3.827,0.00611091,5.8901e-05,-0.000236723,0.00608462,3.827,-0.000434165,0.000223515,3.82696
74,3.827,0.0167499,2.08705e-05,0.000318228,0.0167391,3.827,-3.10756e-05,9.86567e-05,3.82698
74,3.827,0.283556,0.000522984,0.000417363,0.283554,3.827,-0.00038366,0.000528034,3.82698
74,3.827,1.64011,0.0012516,0.00218147,1.6401,3.827,0.00632459,0.00533772,3.82697
74,3.827,0.655505,0.000515816,0.00321748,0.655496,3.827,-0.00048554,0.000508032,3.82697
74,3.827,1.0883,0.00118704,-0.000513956,1.0883,3.827,0.000164803,5.90678e-05,3.82698
74,3.827,0.0456671,-0.000450597,-0.000961917,0.0456519,3.827,-0.000371432,-0.000272815,3.82697
74,3.827,0.207341,0.00213712,0.00134467,0.207325,3.827,-0.00731141,-0.00209801,3.82696
74,3.827,0.93319,-0.00550125,0.00348778,0.933167,3.827,-0.00750266,-0.00208274,3.82695
74,3.827,0.00439355,0.000743155,-2.24662e-05,0.00429993,3.827,-1.74016e-05,-0.000163582,3.82689
74,3.827,1.85447,-0.00664311,0.00134119,1.85446,3.827,-0.00229648,0.00159112,3.82696
74,3.827,0.458661,-0.00147995,-0.00311146,0.458648,3.827,-0.00611322,-0.00228171,3.82697
74,3.827,0.571266,0.000919351,0.00137639,0.571263,3.827,-2.52138e-06,2.19896e-05,3.82698
74,3.827,0.332974,0.00104858,-0.00196243,0.332966,3.827,0.00122527,-0.000423653,3.82698
74,3.827,0.113074,0.0016025,-0.00506498,0.112948,3.827,0.00944102,0.00571481,3.82684
74,3.827,0.180342,-0.00118032,-0.00108701,0.180334,3.827,1.27339e-05,-3.11988e-05,3.82698
74,3.827,0.829838,-0.00586833,0.00780864,0.82978,3.827,0.00701112,0.00971586,3.8269
74,3.827,0.0364901,0.000917053,-0.000136401,0.0364748,3.827,0.000130719,8.99896e-05,3.82697
74,3.827,0.0511963,0.00105597,-0.000352436,0.0511817,3.827,-0.00419112,0.00155119,3.82697
74,3.827,1.79222,0.000568061,0.00539713,1.79221,3.827,0.000768026,-0.000821022,3.82696
74,3.827,0.0451871,-0.00227844,-0.00120224,0.0451107,3.827,-0.000254688,-0.00106965,3.82691
74,3.827,0.41106,-0.00142536,-0.000186337,0.411057,3.827,-1.90456e-05,0.000100776,3.82698
74,3.827,0.250424,0.000778394,0.00204482,0.250414,3.827,1.79774e-05,-5.66525e-05,3.82698
74,3.827,0.0193973,0.000273012,5.66239e-05,0.0193886,3.827,9.09022e-05,-3.01782e-05,3.82698
74,3.827,1.38853,-0.0103286,0.000140902,1.38849,3.827,-0.00100293,0.000561462,3.82692
74,3.827,0.154616,-6.7425e-05,-0.000919114,0.154612,3.827,0.000267459,-9.64677e-05,3.82698
74,3.827,0.00937387,-0.000151642,-0.000235177,0.00935575,3.827,6.11335e-05,-4.26925e-05,3.82697
74,3.827,0.0488351,0.000123204,-0.000430522,0.0488304,3.827,0.000101367,6.94676e-05,3.82698
74,3.827,0.0894035,-0.000956079,-0.000839045,0.089393,3.827,-2.43856e-05,1.88864e-05,3.82698
74,3.827,0.362744,-0.000874705,-0.0033031,0.362727,3.827,-0.000678538,5.35105e-05,3.82697
74,3.827,0.0781985,0.000536588,0.00138482,0.0781827,3.827,-0.000179715,-2.96584e-05,3.82697
74,3.827,0.291682,0.00210594,-0.00294138,0.291659,3.827,-0.000240357,-0.000149317,3.82696
74,3.827,0.815097,0.00184812,0.00224854,0.815092,3.827,9.70891e-05,-0.000748488,3.82698
74,3.827,0.0369704,0.000591323,-0.00186999,0.0369148,3.827,0.000569497,-0.000391547,3.82693
74,3.827,0.540894,0.00191086,-0.000257812,0.54089,3.827,2.0932e-06,-0.000143049,3.82698
74,3.827,0.157702,-0.0025153,-0.000985695,0.157678,3.827,-0.0024627,-0.00148754,3.82696
74,3.827,1.77205,0.0129435,-0.00945621,1.77197,3.827,-0.000708589,0.00011168,3.82684
74,3.827,1.57897,-0.0059043,-0.000680098,1.57896,3.827,2.84458e-05,-2.61799e-06,3.82696
74,3.827,1.33523,-0.00254016,-0.00205392,1.33523,3.827,1.12289e-05,9.09046e-05,3.82697
74,3.827,0.00309976,-8.53964e-05,0.000108315,0.00305424,3.827,-8.51678e-05,-0.000177797,3.82694
74,3.827,0.307471,0.00338998,0.000357053,0.307452,3.827,0.000752273,-0.00150921,3.82696
74,3.827,2.31632,-0.00794225,0.00226874,2.3163,3.827,-2.97024e-05,-0.000207908,3.82693
74,3.827,1.50639,-0.005488,-0.0139226,1.50631,3.827,-0.0116086,-0.00875198,3.82689
74,3.827,0.814702,0.00140265,0.00103487,0.8147,3.827,0.00103099,0.00115828,3.82698
74,3.827,0.0336516,5.70731e-05,-0.000762058,0.033639,3.827,1.17988e-05,-0.000170041,3.82697
74,3.827,0.0135477,0.000696703,0.000168501,0.0135191,3.827,0.000221302,0.000328277,3.82696
74,3.827,1.31827,-0.00748111,-0.00446813,1.31824,3.827,0.0083021,0.000658089,3.8269
74,3.827,1.11644,-0.00489932,0.00538164,1.11642,3.827,-0.000161067,0.000473465,3.82695
74,3.827,0.0234706,0.000917069,-4.98603e-06,0.0234471,3.827,0.00102476,0.000391451,3.82696
74,3.827,0.0812801,-0.000433483,0.000822893,0.0812731,3.827,-0.00287708,0.000978987,3.82698
74,3.827,0.00658105,0.000860606,-0.000428849,0.00649035,3.827,9.40538e-05,-0.000292111,3.8269
74,3.827,1.23266,0.00217568,-9.05589e-05,1.23266,3.827,-0.000710548,-0.000287206,3.82698
74,3.827,1.30617,-0.00451455,-0.00285641,1.30615,3.827,-0.00138009,0.00162006,3.82696
74,3.827,0.0465192,-0.000334864,0.000913907,0.0465062,3.827,-9.67846e-06,-0.000207363,3.82697
74,3.827,0.68131,-0.00161698,-0.00265724,0.681303,3.827,-0.00255286,0.00110163,3.82697
74,3.827,1.43719,-0.00218604,-0.00141645,1.43719,3.827,-0.000259064,0.00102234,3.82697
74,3.827,0.173169,0.00264334,0.00133898,0.173143,3.827,-0.000356664,0.000856252,3.82696
74,3.827,0.0697716,-0.00114493,0.000861225,0.069755,3.827,-1.14271e-05,0.000369023,3.82697
74,3.827,0.863996,0.00581769,-0.00513425,0.863961,3.827,2.52786e-05,-0.000574524,3.82694
74,3.827,0.953478,0.000472578,-0.00014419,0.953478,3.827,0.000584454,0.000179131,3.82698
74,3.827,0.0167944,-0.000191178,0.000631007,0.0167737,3.827,-0.000127823,-4.97321e-05,3.82697
74,3.827,1.49343,-0.00846053,0.0279467,1.49315,3.827,-0.00964306,0.010626,3.82663
74,3.827,0.144879,0.000309704,0.000332445,0.144877,3.827,5.04776e-05,2.32363e-05,3.82698
74,3.827,0.386991,-0.00108775,-0.00308546,0.386977,3.827,-0.000586313,4.23271e-05,3.82697
74,3.827,1.13497,0.0019443,0.000264091,1.13497,3.827,0.000385549,-0.000548819,3.82698
74,3.827,1.49901,0.00355344,0.0222851,1.49884,3.827,0.00420483,0.00480314,3.82674
74,3.827,0.252977,-0.000502638,0.00400691,0.252944,3.827,-0.000182536,-0.000173094,3.82695
74,3.827,1.11474,0.000578897,-0.00429235,1.11474,3.827,-0.0031795,0.000557232,3.82697
74,3.827,3.29603,0.00669442,0.00960466,3.29601,3.827,-0.00116485,-0.00095729,3.82672
74,3.827,0.404056,-0.0054867,0.0027227,0.404009,3.827,-0.000128923,0.00284807,3.82693
74,3.827,0.0967944,-0.00197787,-0.000142808,0.0967727,3.827,6.3062e-05,-0.000221152,3.82696
74,3.827,1.4666,0.00193672,-0.00186898,1.4666,3.827,3.99736e-05,6.60068e-05,3.82697
74,3.827,0.200879,-0.00945798,-0.000186485,0.200655,3.827,-0.00101017,-0.00196661,3.82675
74,3.827,0.0274786,0.000940028,-0.000890515,0.0274433,3.827,-0.000397338,-0.000179117,3.82695
74,3.827,2.51856,0.00589197,0.00101687,2.51856,3.827,-6.48163e-05,0.000288146,3.82694
74,3.827,0.258976,-0.00026508,0.000265121,0.258975,3.827,0.000436426,0.000415686,3.82699
74,3.827,0.090164,0.000237434,-0.00707707,0.089884,3.827,-0.000894311,-0.00119869,3.8267
74,3.827,0.23773,-0.00309882,0.00350198,0.237684,3.827,-0.00397846,0.00208473,3.82694
74,3.827,1.54533,0.00118483,0.00141851,1.54533,3.827,-3.30851e-05,-1.65443e-05,3.82698
74,3.827,0.0560387,0.000157038,0.00120939,0.0560231,3.827,-0.000163981,-7.09381e-05,3.82697
74,3.827,0.0764184,0.000510433,-0.000114771,0.0764149,3.827,2.89134e-05,-7.57126e-05,3.82698
74,3.827,0.00545041,8.68377e-05,-0.000148616,0.00542367,3.827,0.000464881,-0.000169703,3.82696
74,3.827,0.0361671,-0.0031048,-0.000259545,0.036029,3.827,0.000977061,3.32699e-06,3.82685
74,3.827,0.116524,-0.0173867,-0.00129713,0.115211,3.827,-0.0213657,-0.00249077,3.82567
74,3.827,0.172896,-0.0022933,-0.00329949,0.172848,3.827,-0.00117363,0.000147271,3.82694
74,3.827,0.314061,0.00190252,-0.00280088,0.314042,3.827,-7.90909e-05,-2.62767e-05,3.82697
74,3.827,1.11723,-0.00502209,0.000510712,1.11722,3.827,0.000128962,0.000222277,3.82697
74,3.827,0.31711,0.00123794,-0.00580955,0.317054,3.827,0.000634858,-0.000500583,3.82693
74,3.827,0.698354,-0.000700972,-0.000650879,0.698353,3.827,-0.000577026,0.00023787,3.82698
74,3.827,0.0258791,-0.000380669,-0.000860034,0.0258569,3.827,-0.00108454,-0.000412796,3.82696
74,3.827,0.821628,-0.0117551,0.0297125,0.821006,3.82699,-0.00628374,0.0444318,3.82631
74,3.827,0.125084,0.00120398,0.00300058,0.125041,3.827,0.00165979,0.0053318,3.82694
74,3.827,0.0329257,-0.00014088,0.000228933,0.0329206,3.827,-0.000128525,0.000782414,3.82698
74,3.827,1.20812,-0.0023837,0.000897297,1.20811,3.827,0.000266945,6.08028e-05,3.82698
74,3.827,0.280603,-0.00432559,0.000506893,0.280569,3.827,0.000127748,0.000215263,3.82695
74,3.827,0.0391271,-2.1314e-05,-0.000151771,0.0391234,3.827,-5.9078e-05,5.32217e-06,3.82698
74,3.827,0.08346,-0.00306944,0.00138963,0.0833904,3.827,0.000342625,-0.000536077,3.82691
74,3.827,0.0355671,-3.97172e-05,0.000445854,0.0355607,3.827,0.000680066,-5.4466e-05,3.82698
74,3.827,0.743279,-0.00830704,0.00945987,0.743172,3.827,1.56574e-05,0.000310038,3.82685
74,3.827,0.180275,0.00391058,-0.00199671,0.18022,3.827,-0.000159124,-0.000100225,3.82693
74,3.827,0.243826,0.000914627,-0.00141513,0.243819,3.827,0.000131321,0.000105582,3.82698
74,3.827,0.2672,-0.00297003,0.000626136,0.267182,3.827,-0.000169058,-8.34692e-05,3.82697
74,3.827,0.0866769,1.11538e-05,-0.000980867,0.0866699,3.827,0.000256621,0.000321124,3.82698
74,3.827,0.10673,0.000100535,-0.000251408,0.106729,3.827,8.01015e-05,-0.000440692,3.82698
74,3.827,0.00437832,0.000777243,-0.000331223,0.00426553,3.827,0.000100449,5.23697e-05,3.82687
74,3.827,0.193532,-0.000387056,-0.00128148,0.193526,3.827,-0.00123594,0.000247381,3.82698
74,3.827,0.0419457,0.00108045,-0.00136988,0.0419063,3.827,-0.00019454,0.000106423,3.82695
74,3.827,2.34159,-0.00880408,-0.0284674,2.3414,3.827,0.010471,-0.0282694,3.82665
74,3.827,2.22132,-0.00549383,-0.00610131,2.22131,3.827,0.000375291,-0.000564794,3.82693
74,3.827,0.0515795,0.00180691,-0.00330303,0.0514394,3.827,0.000861691,0.000164345,3.82684
74,3.827,0.75547,-0.00191035,-0.00315408,0.755461,3.827,-0.00141819,0.000533459,3.82697
74,3.827,0.630515,0.00861978,-0.00447003,0.63044,3.827,0.000229031,1.19999e-05,3.8269
74,3.827,1.18934,-0.0355676,-0.00760497,1.18878,3.827,-0.00196863,-0.0033878,3.82621
74,3.827,0.448436,-3.43302e-05,0.000401839,0.448436,3.827,0.000312247,0.000144391,3.82698
74,3.827,2.14691,0.0204179,0.000365708,2.14682,3.827,0.0172217,0.00254897,3.82687
74,3.827,0.00705176,0.000222747,-0.000480861,0.00701323,3.827,-3.80901e-05,-0.000571141,3.82695
74,3.827,0.115958,-0.00121344,0.000194676,0.11595,3.827,-0.00163725,-1.98876e-05,3.82698
74,3.827,0.112314,-0.000206287,0.0003963,0.112312,3.827,-5.63283e-05,7.87338e-05,3.82698
74,3.827,1.19614,0.00724993,0.00419919,1.19611,3.827,0.00672783,0.014584,3.82693
74,3.827,0.509133,0.0018081,0.00308776,0.50912,3.827,0.0023163,-0.000178388,3.82697
74,3.827,0.210102,0.00134056,-0.00699428,0.209981,3.827,0.000450123,-0.00346248,3.82686
74,3.827,0.175838,-0.000560307,-0.00323134,0.175807,3.827,0.00264029,-0.00651235,3.82695
74,3.827,0.941972,-0.00462872,0.00702892,0.941935,3.827,-0.00337048,0.000455207,3.82694
74,3.827,1.642,0.0072832,-0.00198457,1.64198,3.827,0.00118184,0.000902071,3.82695
74,3.827,0.129094,0.00144866,0.00119635,0.129079,3.827,0.00134513,-0.00165059,3.82697
74,3.827,0.837901,-0.00570893,0.00173762,0.837879,3.827,3.9754e-05,-0.000517,3.82696
74,3.827,0.225112,-0.00247237,0.0020614,0.225088,3.827,-0.000360759,0.000846445,3.82696
74,3.827,0.054715,0.000236174,0.0027775,0.0546416,3.827,-0.000266237,0.00236375,3.82691
74,3.827,0.147938,-0.00140064,-0.000264632,0.14793,3.827,-6.1765e-05,-1.22964e-05,3.82698
74,3.827,1.39121,0.00111312,-0.0107108,1.39117,3.827,-0.00128675,-0.000574622,3.82692
74,3.827,0.915238,-0.00388128,0.00296534,0.915225,3.827,3.25133e-05,0.000282404,3.82697
74,3.827,0.370937,-0.000201779,-0.000221118,0.370936,3.827,-0.0012178,-0.0018918,3.82698
74,3.827,0.0173993,0.000568776,0.000383189,0.0173783,3.827,0.000189034,-7.91737e-05,3.82697
74,3.827,2.04973,0.00161049,0.00171354,2.04973,3.827,0.000146774,-0.00121788,3.82697
74,3.827,0.0630767,0.000384579,-0.000123728,0.0630733,3.827,6.70766e-05,-8.73308e-05,3.82698
74,3.827,0.363332,-0.00419947,-0.0142634,0.363028,3.827,-0.00116869,-0.000766508,3.82665
74,3.827,0.0124665,0.00210364,0.0017164,0.0121566,3.827,-0.000666745,0.00427046,3.82668
